英文疾病名稱,中文疾病名稱,ICD-9-CM 2001年版,A Code
Hyperosmolality and /or hypernatremia,高滲透壓及／或血鈉過高症,276.0,A189
Hyperpotassaemia,血鉀過高症,276.7,A189
Hypopotassaemia,血鉀過低症,276.8,A189
Hyposmolality and /or hyponatremia,低滲透壓及／或血鈉過低症,276.1,A189
Malignant neoplasm of kidney、except pelvis,腎臟惡性腫瘤，腎盂除外,189.0,A129
Multiple myeloma,多發性骨髓瘤,203.0,A149
Amyloidosis,類澱粉病,277.3,A189
Nephrotic syndrome with other specified pathological lesion in kidney,腎病徵候群，併其他特定腎臟病理學之病灶,581.8,A350
Nephrotic syndrome in focal segmental glomerular sclerosis,腎病徵候群，併局部區段性腎絲球硬化,581.1,A350
Nephrotic syndrome in membranoproliferative glomerulonephritis,腎病徵候群，併膜狀增生性腎絲球腎炎,581.2,A350
Nephrotic syndrome in minimal change disease,腎病徵候群，併微量變化絲球腎炎病灶,581.3,A350
Nephrotic syndrome in proliferative glomerulonephritis,腎病徵候群，併增生性腎絲球腎炎,581.0,A350
Obstructive uropathy,阻塞性尿路病變,599.6,A359
Peritonitis,腹膜炎,567.9,A349
Pure hypercholesterolaemia,純高膽固醇血症,272.0,A182
Pure hypertriglyceridemia,純高三酸甘油脂血症,272.1,A182
Renal and perinephric abscess,腎臟及腎周圍膿瘍,590.2,A351
Other specified disorders of kidney and ureter,腎及輸尿管之其他特定疾患(593.81 : 腎血管之疾患),593.8,A359
Renal or perirenal hemorrhage (resulting from a surgical procedure),"併發於醫療處置中之出血,血腫或血清腫(原998.11:特指腎臟及腎周圍出血)",998.1,A54
Renal osteodystrophy,腎性骨發育不全,588.0,A350
Renal pelvis cancer,腎盂惡性腫瘤,189.1,A129
Secondary hyperparathyroidism,續發性副甲狀腺功能亢進,588.8,A350
Tuberculosis of kidney,腎結核病,016.0,A025
Ureter stone,輸尿管結石,592.1,A352
Vascular access occlusion ( arteriovenous shunt ),動靜脈廔管之血管通路阻塞,996.1,A54
Vesicoureteral reflux,膀胱輸尿管尿液倒流,593.7,A359
Acanthosis nigricans,黑棘皮症,701.2,A429
Actinic keratosis,日光性角化病,702.0,A429
Angioneurotic edema,血管神經性水腫   ,995.1,A56
Angular cheilitis,口角炎,528.5,A339
Aphthous ulcer,口瘡,528.2,A339
Balanoposthitis,龜頭包皮炎  ,607.1,A369
Basal cell carcinoma,基底細胞癌  ,173.9,A112
Bowen's disease ,波文氏病,232.9,A16
Bullous dermatosis,水泡性皮膚病   ,694.9,A429
Contact dermatitis and other eczema due to other specified agents,接觸性皮膚炎及其他濕疹，其他特定物質所致,692.8,A429
Congenital anomalies of the integument,外皮畸形  ,757.9,A449
Dermatitis artefacta,人工皮膚炎,698.4,A429
Phobic disorders,畏懼疾患(300.29:寄生蟲忘想症),300.2,A214
Dermatosis,皮膚疾病   ,709.9,A429
Dermatophytosis(Tinea) excluding nail,皮癬菌病,110.9,A071
Foreign body granuloma of skin and subcutaneous tissue,皮膚及皮下組織異物肉芽腫 ,709.4,A429
Granuloma pyogenicum,化膿性肉芽腫 ,686.1,A420
Herpes zoster ophthalmicus,眼部帶狀泡疹,053.2,A049
Hyperhidrosis,多汗症,780.8,A469
Ingrowing nail,內生指(趾）甲,703.0,A429
Insect bite,昆蟲咬傷,919.4,A55
Other specified erythematous conditions,其他特定之紅斑病態,695.8,A429
Other specified anomalies of skin,皮膚其他特定之畸形(757.39:角皮病),757.3,A449
Lichenification and lichen simplex chronicus,苔癬化及慢性單純苔癬 ,698.3,A429
Lupus erythematous(discoid),盤狀紅斑性狼瘡,695.4,A429
Miliaria(crystallina、rubra、pustulosa),痱子,705.1,A429
Molluscum contagiosum,觸染性軟疣 ,078.0,A049
Morphea(guttate; linear),局限性硬皮症 ,701.0,A429
Nail disease,指(趾)甲病,703.9,A429
"Neoplasm、scalp、benign""",頭皮良性腫瘤,216.4,A150
"Neoplasm、head、malignant""",頭部惡性腫瘤,173.4,A112
Neoplasm、face、benign,臉部良性腫瘤,216.3,A150
Neoplasm、face、malignant,臉部惡性腫瘤,173.3,A112
Neoplasm、male genital organs、penisㄒbenign,陰莖，男性生殖器官良性腫瘤,222.1,A159
Neoplasm、penis、malignant,陰莖惡性腫瘤,187.4,A129
Neoplasm、male genital organs、scrotum、benign,陰囊，男性生殖器官良性腫瘤,222.4,A159
Neoplasm、scrotum、malignant,陰囊惡性腫瘤,187.7,A129
Panniculitis,脂層炎,729.3,A435
Pediculosis pubis,陰蝨侵染  ,132.2,A079
Pemphigus,天皰瘡,694.4,A429
Pemphigoid,類天皰瘡,694.5,A429
Perniosis,凍瘡,991.5,A56
Pityriasis alba,白糠疹 ,696.5,A429
Pityriasis rosea,玫瑰糠疹,696.3,A429
Postherpetic neuralgia(intercostal),帶狀泡疹併其他神經系統合併症,053.1,A049
Pruritus and prurigo simplex,皮癢症及單純性癢疹,698.2,A429
Unspecified complication of pregnancy,妊娠期併發症,646.9,A399
Pyoderma and bacterial infection of skin,膿皮病及皮膚細菌感染,686.0,A420
Rosacea,酒渣,695.3,A429
Seborrheic keratosis,脂漏性角化病,702.1,A429
Senile dermatosis and degeneration or calcinosis,皮膚退化疾患   ,709.3,A429
Contact dermatitis and other eczema due to solar radiation,接觸性皮膚炎及其他濕疹，太陽輻射所致(含曬傷),692.7,A429
Syphilis、secondary(skin or mucosa),第二期(續發性)皮膚或粘膜梅毒,091.3,A060
Toxic erythema,毒性紅斑,695.0,A429
Urticaria、chronic,慢性蕁麻疹,708.8,A429
Viral exanthemata,病毒性發疹症,057.9,A049
Herpangina,泡疹性咽峽炎,074.0,A049
Acute laryngitis,急性喉炎,464.0,A311
Acute epiglottitis,急性會厭炎,464.3,A311
Croup,嘶哮,464.4,A311
Acute bronchiolitis,急性細支氣管炎,466.1,A320
Malignant neoplasm of tongue,舌癌,141.9,A08
Malignant neoplasm of salivary gland,唾液腺癌,142.9,A08
Malignant neoplasm of nasopharynx,鼻咽癌,147.9,A08
Malignant neoplasm of hypopharynx,下咽癌,148.9,A08
Malignant neoplasm of larynx,喉癌,161.9,A100
Secondary malignant neoplasm of lymph nodes of neck,頸部淋巴腺續發性腫瘤,196.0,A139
Benign neoplasm of salivary glands,唾液腺良性腫瘤,210.2,A159
Impacted cerumen,耳垢栓塞,380.4,A249
Serous otitis media,漿液性中耳炎,381.4,A240
Disorders of Eustachian tube,耳咽管疾患,381.8,A240
Acute myringitis,急性鼓膜炎,384.0,A249
Chronic myringitis,慢性鼓膜炎,384.1,A249
Perforation of tympanic membrane,鼓膜穿孔,384.2,A249
"Specified parts of ear, without mention of complication",特定部位之耳開放性傷口，未提及併發症,872.6,A500
Cholesteatoma of middle ear and mastoid,Cholesteatoma of middle ear and mastoid,385.3,A249
Vertigo of central origin,中樞性之眩暈,386.2,A249
Labyrinthitis,迷路炎,386.3,A249
Degenerative and vascular disorders of ear,耳之變性及血管疾患(含老年性失聰),388.0,A249
Sudden hearing loss,突發性耳聾,388.2,A249
Otalgia,耳痛,388.7,A249
Nasal polyp,鼻瘜肉,471.9,A313
Chronic tonsillitis,慢性扁桃腺炎,474.0,A315
Mucocele of nasal sinus,鼻竇粘液囊腫,478.1,A319
Fracture of nasal bone,鼻骨骨折,802.0,A470
Fracture of maxillary bone,上頷骨骨折,802.4,A470
Paralysis of vocal cord,聲帶痳痺,478.3,A319
Polyp of vocal cord,聲帶瘜肉,478.4,A319
Sialoadenitis,唾液腺炎,527.2,A339
Sialolithiasis,唾液腺結石,527.5,A339
Cyst of oral soft tissues,口腔軟組織囊腫,528.4,A339
Leukoplakia of oral mucosa,口腔黏膜白斑症,528.6,A339
Glossitis,舌炎,529.0,A339
 Branchial cleft cyst or fistula / preauricular sinus,先天性鰓裂囊腫,744.4,A449
Tongue tie,舌繫帶短縮,750.0,A444
Thyroglossal cyst ,甲狀腺舌管囊腫,759.2,A449
Loss sense of smell,嗅覺喪失,781.1,A469
Neck mass,頸部腫塊,784.2,A469
Voice disturbance,發音障礙,784.4,A469
Dysarthria,構音異常，口吃,784.5,A469
Dysphagia,吞嚥困難,787.2,A469
Foreign body in pharynx ,咽之異物,933.0,A51
Foreign body in larynx,喉之異物,933.1,A51
Foreign body in trachea,氣管之異物,934.0,A51
Foreign body in bronchus,支氣管之異物,934.1,A51
Foreign body in esophagus,食道之異物,935.1,A51
Cellulitis and abscess of neck,頸部蜂窩組織炎及膿瘍,682.1,A420
Developmental speech or language disorder,語言或語文發展障礙,315.3,A219
Abnormal involuntary movements,異常不隨意運動,781.0,A469
Acute infective polyneuritis,急性感染性多發神經炎,357.0,A229
Amyotrophic lateral sclerosis,肌萎縮性側索硬化,335.2,A222
Anomalies of cerebrovascular system,腦血管系統之畸形,747.8,A442
Anoxic brain damage ,腦缺氧損傷,348.1,A229
Arteriosclerotic dementia,動脈硬化性癡呆症,290.4,A210
Basilar artery syndrome,基底動脈徵候群,435.0,A299
Benign intracranial hypertension,良性顱內高壓症,348.2,A229
Fragments of torsion dystonia,零星性扭轉張力不全,333.8,A222
Brain tumor,腦腫瘤,239.6,A17
Branchial plexus lesions,臂神經叢病灶,353.0,A229
Cerebellar ataxia,小腦性運動失調,334.3,A222
Cerebral degeneration,大腦變性,331.9,A222
Cervical spondylosis with myelopathy,伴有脊髓病變之頸部退化性脊椎炎,721.1,A434
Cryptococcosis,隱球菌病,117.5,A071
Cryptococcal meningitis,囊球菌性腦膜炎,321.0,A220
Dementia,癡呆,298.9,A213
Disorder of copper metabolism,銅代謝失調症,275.1,A189
Encephalitis,腦炎,323.9,A229
Encephalopathy,腦病,348.3,A229
Essential tremor,自發性震顫,333.1,A222
Extrapyramidal diseases ,錐體外路疾病,333.9,A222
Facial nerve disorders,面神經疾患,351.8,A229
Huntington's chorea,亨庭頓舞蹈症,333.4,A222
Hydrocephalus,水腦症,331.4,A222
Hypertensive encephalopathy,高血壓性腦病變,437.2,A299
Inflammatory and toxic neuropathy,發炎性及毒性神經疾病,357.9,A229
Lesion of lateral popliteal nerve,外側膕神經病灶,355.3,A229
Lesion of radial nerve,撓骨神經病灶,354.3,A229
Lesion of sciatiac nerve,坐骨神經病灶,355.0,A229
Lesion of ulnar nerve,尺骨神經病灶,354.2,A229
Lumbosacral spondylosis,腰胝骨退化性脊椎炎,721.3,A434
Meningitis,腦膜炎,322.9,A220
Meralgia paresthetica,感覺異常性股痛,355.1,A229
Mononeuritis multiplex,多發性單一神經炎,354.5,A229
Multiple cranial nerve paralysis,多發性顱神經麻痺,352.6,A229
Myasthenia gravis,重症肌無力,358.0,A229
Myoclonus,肌陣攣,333.2,A222
Neuralgic amyotrophy,神經痛性肌萎縮症,353.5,A229
Neuropathy,神經病變,355.9,A229
Optic neuritis,視神經炎,377.3,A239
Paralysis,痳痺,344.9,A224
Postconcussion syndrome ,腦震盪後徵候群,310.2,A219
Secondary malignant neoplasm of brain and spinal cord,腦及脊髓之續發性惡性腫瘤,198.3,A139
Secondary parkinsonism,續發性巴金森病態,332.1,A221
Spinocerebellar disease,脊髓小腦疾病,334.9,A222
Subclavian steal syndrome,鎖骨下動脈徵候群,435.2,A299
Subdural hemorrhage,硬腦膜下出血,432.1,A291
Tic disorder,抽搐,307.2,A219
Tuberculosis meningitis,結核性腦膜炎,013.0,A022
Vertebral artery syndrome,脊椎動脈徵候群,435.1,A299
Malignant skull tumor,顱骨惡性腫瘤,170.0,A110
Malignant cerebrum tumor,大腦惡性腫瘤,191.0,A130
Malignant cerebellum tumor,小腦惡性腫瘤,191.6,A130
Malignant brain stem tumor,腦幹惡性腫瘤,191.7,A130
Malignant neoplasm of brain,腦惡性腫瘤,191.9,A130
Malignant cranial nerve tumor,顱神經惡性腫瘤,192.0,A139
Malignant cerebral meninges tumor,大腦膜惡性腫瘤,192.1,A139
Malignant spinal cord tumor,脊髓惡性腫瘤,192.2,A139
Malignant spinal meninges tumor,脊髓膜惡性腫瘤,192.3,A139
Metastatic spinal tumor,脊椎之續發性惡性腫瘤,198.5,A139
Benign skull tumor,顱骨良性腫瘤,213.0,A159
Benign brain tumor,腦部良性腫瘤,225.0,A155
Benign cranial nerve tumor,腦神經良性腫瘤,225.1,A155
Benign cerebral meninges tumor,大腦膜良性腫瘤,225.2,A155
Benign spinal cord tumor,脊髓良性腫瘤,225.3,A155
Benign spinal meninges tumor,脊髓膜良性腫瘤,225.4,A155
Spinal cord tumor,脊髓腫瘤,239.7,A17
Cerebral edema,腦水腫,348.5,A229
Skull defect,顱骨缺損,738.1,A439
Fracture of skull、closed,閉鎖性顱骨骨折,803.0,A470
Fracture of skull、open,開放性顱骨骨折,803.5,A470
Fracture of skull with contusion of brain,顱骨骨折合併腦挫傷,803.1,A470
Fracture of skull with epidural hemorrhage,顱骨骨折合併硬腦膜上出血,803.2,A470
Fracture of skull with intracranial hemorrhage,顱骨骨折合併腦出血,803.3,A470
Fracture of skull with intracranial injury,顱骨骨折合併顱內損傷,803.4,A470
Fracture of cervical spine,頸椎骨折,805.0,A471
Fracture of thoracic spine,胸椎骨折,805.2,A471
Fracture of lumbar spine,腰椎骨折,805.4,A471
Fracture of cervical spine with cord injury,頸椎骨折合併脊髓損傷,806.0,A471
Fracture of thoracic spine with cord injury,胸椎骨折合併脊髓損傷,806.2,A471
Fracture of lumbar spine with cord injury,腰椎骨折合併脊髓損傷,806.4,A471
Brain contusion,腦挫傷,851.8,A491
Traumatic subarachnoid hemorrhage,外傷性蜘蛛網膜下出血,852.0,A491
Traumatic subdural hemorrhage,外傷性硬腦膜下出血,852.2,A491
Traumatic epidural hemorrhage,外傷性硬腦膜上出血,852.4,A491
Carotid-cavernous fistula,頸動脈海綿竇廔管,853.0,A491
Head injury,頭部外傷,959.0,A491
Scalp laceration,頭皮撕裂傷,873.0,A500
Late effect of intracranial injury,顱內損傷之後遺症,907.0,A56
Cranial nerve injury,顱神經損傷,951.9,A491
Spinal cord injury、cervical,頸椎脊髓損傷,952.0,A499
Spinal cord injury、thoracic,胸椎脊髓損傷,952.1,A499
Spinal cord injury、lumbar,腰椎脊髓損傷,952.2,A499
Nerve injury,神經損傷,957.9,A499
Thoracic spondylosis ,胸部椎關節黏連,721.2,A434
Thoracic or lumbar spondylosis with myelopathy,胸椎或腰椎關節退化併脊髓病變,721.4,A434
Herniation of cervical intervertebal disc,頸部椎間盤移位,722.0,A434
Torticollis,斜頸,723.5,A434
Ossification of posterior longitudinal ligament、cervical region,頸部後縱韌帶骨化,723.7,A434
Ossification of posterior longitudinal ligament(OPLL),後縱韌帶骨化,724.8,A434
Spondylolisthesis(acquired),後天性脊椎滑脫,738.4,A439
Intracranial hemorrhage,顱內出血,432.9,A291
Cerebral aneurysm,腦部動脈瘤,437.3,A299
Moyamoya disease,腦部小血管雲霧狀疾病,437.5,A299
Arnold-chiari syndrome,Arnold-chiari氏症候群 ,741.0,A440
Spinal bifida,脊椎裂,741.9,A440
Encephalocele ,腦膨出,742.0,A441
Congenital hydrocephalus,先天性水腦症,742.3,A440
Tethered cord syndrome,腰脊髓粘連症候群,742.5,A441
Congenital anomaly of nervous system ,先天性神經系統畸形,742.9,A441
Cerebral palsy,腦性痳痺,343.9,A224
Cerebral cyst,腦囊腫,348.0,A229
Tuberculosis of brain,腦結核病,013.2,A022
Tuberculosis of vertebral column,脊柱結核病,015.0,A024
Other infections involving bone in diseases classified elsewhere,特定疾病引起侵及骨之其他感染,730.8,A436
Intracranial abscess,顱內膿瘍,324.0,A229
Intraspinal abscess,椎管內膿瘍,324.1,A229
Tarsal tunnel syndrome,跗隧道徵候群,355.5,A229
Communicating hydrocephalus,交通性水腦症,331.3,A222
Facial nerve disorders,面神經疾患,351.9,A229
Cranial nerve lesion,顱神經病灶,352.9,A229
Craniosynostosis,顱縫線封閉過早,756.0,A447
Compression fracture,壓迫性骨折,733.1,A439
Fracture of lumbar、open,腰椎開放性骨折,805.5,A471
Fracture of coccyx,尾骨閉鎖性骨折,805.6,A471
Fracture of rib(s)、closed,肋骨閉鎖性骨折,807.0,A471
Fracture of rib(s)、open,肋骨開放性骨折,807.1,A471
Fracture of pelvis、open,骨盆開放性骨折,808.9,A471
Fracture of clavicle、closed,鎖骨閉鎖性骨折,810.0,A476
Fracture of clavicle、open,鎖骨開放性骨折,810.1,A476
Fracture of scapula、closed  ,肩胛骨閉鎖性骨折,811.0,A476
Fracture of scapula、open,肩胛骨開放性骨折,811.1,A476
Fracture of humerus、open,肱骨開放性骨折,812.3,A472
Fracture of lower end of radius and ulna closed,橈骨及尺骨下端閉鎖性骨折,813.4,A472
Fracture of lower end of radius and ulna open,柯雷氏開放性骨折,813.5,A472
Fracture of unspecified part of radius with ulna open,橈骨及尺骨開放性骨折,813.9,A472
Fracture of carpal、closed ,腕骨閉鎖性骨折,814.0,A476
Fracture of carpal、open,腕骨開放性骨折,814.1,A476
Fracture of metacarpal、closed  ,掌骨閉鎖性骨折,815.0,A476
Fracture of metacarpal、open,掌骨開放性骨折,815.1,A476
Fracture of phalanx (hand)、closed  ,指骨閉鎖性骨折,816.0,A476
Fracture of phalanx (hand)、open,指骨開放性骨折,816.1,A476
Multiple hand bones fracture、closed,手骨多處閉鎖性骨折,817.0,A476
Fracture of femur neck、open,股骨頸開放性骨折,820.9,A473
Pertrochanteric fracture of femur closed,股骨經由粗隆之閉鎖性骨折,820.2,A473
Pertrochanteric fracture of femur open,股骨經由粗隆之開放性骨折,820.3,A473
Fracture of femur、closed   ,股骨閉鎖性骨折,821.0,A474
Fracture of femur、open,股骨開放性骨折,821.1,A474
Fracture of patella、closed   ,髕骨閉鎖性骨折,822.0,A476
Fracture of patella、open,髕骨開放性骨折,822.1,A476
Fracture of tibia、open,脛骨開放性骨折,823.9,A475
Fracture of ankle、open,踝開放性骨折,824.9,A475
Fracture of tarsal and metatarsal bones、open,跗或蹠骨開放性骨折,825.3,A476
Fracture of phalanx (foot)、closed  ,趾骨閉鎖性骨折,826.0,A479
Fracture of phalanx (foot)、open,趾骨開放性骨折,826.1,A479
Multiple fracture、closed  ,多發性閉鎖性骨折,828.0,A479
Multiple fracture、open,多發性開放性骨折,828.1,A479
Malunion of fracture,癒合不良之骨折,733.8,A439
Dislocation of mandible,頷骨脫臼  ,830.0,A48
Dislocation of shoulder  ,肩脫臼  ,831.0,A48
Dislocation of elbow  ,肘脫臼  ,832.0,A48
Dislocation of wrist  ,腕脫臼  ,833.0,A48
Dislocation of finger  ,手指脫臼,834.0,A48
Dislocation of hip  ,臗脫臼,835.0,A48
Dislocation of knee  ,膝脫臼,836.5,A48
Dislocation of ankle  ,踝脫臼,837.0,A48
Dislocation of foot  ,足脫臼,838.0,A48
Rotator cuff tear,旋轉環帶撕裂傷,840.4,A48
Sprains of wrist,腕扭傷,842.0,A48
Meniscus tear,膝軟骨或半月板撕裂,836.2,A48
Sprains of lateral collateral ligament of knee,外側側膝韌帶扭傷,844.0,A48
Sprains of medial collateral ligament of knee,內側側膝韌帶扭傷,844.1,A48
Cruciate sprains,膝十字韌帶扭傷,844.2,A48
Sprains of ankle,踝扭傷,845.0,A48
Sprains of foot,足扭傷,845.1,A48
Sprains of neck,頸部扭傷,847.0,A48
Sprains of back,開放性背部受傷,847.9,A48
Open wound of finger,手指開放性傷口,883.0,A501
Traumatic amputation of thumb,拇指截斷,885.0,A501
Traumatic amputation of fingers,手指截斷,886.0,A501
Traumatic amputation of arm and hand,臂及手截斷,887.0,A501
Traumatic amputation of toe(s),趾截斷,895.0,A502
Traumatic amputation of foot,足截斷,896.0,A502
Traumatic amputation of leg(s),小腿截斷,897.0,A502
Contusion of trunk,軀幹挫傷,922.9,A55
Post-traumatic wound infection,創傷後傷口感染,958.3,A55
Mechanical complication of internal orthopedic device、implant and graft,體內矯形外科裝置物、種植及移植物所致之機械性併發症,996.4,A54
Pyogenic arthritis,化膿性關節炎,711.0,A431
Infective arthritis,傳染性關節炎,711.9,A431
Osteoarthrosis、localized、not specified whether primary or secondary,局部骨關節病,715.3,A431
Internal derangement of knee (IDK),膝內部障礙,717.9,A432
Meniscus tear (old),半月板障礙（陳舊性）,717.5,A432
Loose body in knee,膝關節游離體,717.6,A432
Chondromalacia of patella,髕骨軟骨之軟化,717.7,A432
Internal derangement of knee,膝內障礙,717.8,A432
Hemarthrosis,關節血腫,719.1,A432
Chronic osteomyelitis,慢性骨髓炎,730.1,A436
Aseptic necrosis of bone,無菌性骨壞死,733.4,A439
Neuralgia、neuritis、and radiculitis,神經痛、神經炎及神經根炎,729.2,A435
Kyphosis,脊柱後彎(駝背),737.1,A439
Scoliosis、idiopathic,自發性脊柱側彎,737.3,A439
Bursitis,滑液囊炎,727.3,A435
Enthesopathy of elbow region,肘部著骨點病變(原寫 : 726.32:網球肘),726.3,A435
Legg-Calve-Perthes disease (LCPD),少年時期髖部及骨盆之骨軟骨症,732.1,A439
Slipped capitas femoral epiphysis (SCFE),滑脫股骨頭骨垢,732.2,A439
Hallux valgus,拇指外翻（後天性）,735.0,A437
Mallet finger,鎚形手指,736.1,A437
Acquired deformity of limb,肢體之後天性變形,736.9,A437
Poliomyelitis,急性脊髓灰白質炎（小兒麻痺）,045.9,A040
Dislocation developmental hip、unilateral,髖骨先天性脫臼、單側,754.3,A446
Club foot,畸形足,754.7,A447
Polydactyly,多指(趾)畸形,755.0,A447
Syndactyly,併指(趾)畸形,755.1,A447
Cardiovascular disease,心臟血管疾病,429.2,A289
Inflammatory disease of cervix、 vagina and vulva,子宮頸、陰道、及女陰之炎症,616.9,A373
Inflammatory disease of uterus,子宮炎症(子宮頸除外),615.9,A373
Leukorrhoea,白帶,623.5,A379
Pruritus of genital organ,生殖器官瘙癢,698.1,A429
Cyst of Bartholin's gland,巴氏腺囊腫,616.2,A373
Abscess of Bartholin's gland,巴氏腺膿瘍,616.3,A373
Ulceration of vulva,女陰潰瘍,616.5,A373
Candidiasis,念珠菌病,112.1,A071
Prolapse of uterus,子宮脫垂,618.1,A374
Salpingitis and oophoritis,輸卵管炎及卵巢炎,614.2,A371
Dysplasia of cervix (CIN lesion),子宮頸細胞化生不良,622.1,A379
Endometrial hyperplasia,子宮內膜增生,621.3,A379
Cervical polyp,子宮頸息肉,622.7,A379
Cervical stricture,子宮頸狹窄,622.4,A379
Endometriosis,子宮內膜異位,617.9,A379
Fistula involving female genital organ,女性生殖道廔管,619.9,A379
Congenital anomalies of genital organ,生殖器官先天畸型,752.9,A449
Doubling of uterus,雙子宮,752.2,A449
Irregular menstrual cycle,月經週期不規則,626.4,A375
Menorrhagia,月經過多,626.2,A375
Oligomenorrhea、hypomenorrhea,月經過少,626.1,A375
Post-menopausal bleeding,停經後出血,627.1,A379
Post-menopausal atrophic vaginitis,停經後萎縮性陰道炎,627.3,A379
Corpus luteum cyst or hematoma,黃體囊腫或血腫,620.1,A379
Ovarian cyst,卵巢囊腫,620.2,A379
Benign uterine tumor,子宮良性腫瘤,219.9,A152
Carcinoma in situ、III,子宮頸原位癌,233.1,A16
Disorder of other female genital organs,其他女性生殖器官疾病,629.8,A379
Ovarian failure,卵巢衰竭,256.3,A189
Polycystic ovary,卵巢多囊性囊腫,256.4,A189
Vaginal stricture,陰道狹窄,623.2,A379
Carcinoma of vulva,女陰癌,184.4,A129
Torsion of ovarian cyst,卵巢囊腫扭轉,620.5,A379
Pelvic adhesions,骨盆腔粘黏,614.6,A372
Vulva and perineum non-inflammatory disorder,女陰及會陰之非炎性疾患,624.9,A379
Hyperprolactinemia,激乳素過多,253.1,A189
Tubal obstruction,輸卵管阻塞,628.2,A376
Hydrosalpinx,輸卵管積水,614.1,A371
Ovarian dysfunction,卵巢功能障礙,256.9,A189
Legally induced abortion,合法之人工流產,635.9,A381
Illegally induced abortion,非法之人工流產,636.9,A382
Abortion without mention of complication,流產未提及併發症,637.9,A389
Threatened abortion,迫切流產,640.0,A390
Habitual abortion,習慣性流產,646.3,A399
Spontaneous abortion,自然流產,634.9,A380
Intrauterine death affecting management of mother,子宮內胎兒死亡影響母親之處置,656.4,A399
Cervical incompetence,子宮頸官能不足,654.5,A399
Abortion complication,流產後之併發症,639.9,A389
Postpartum hemorrhage(PPH),產後出血,666,A399
Ectopic pregnancy,子宮外孕,633.9,A389
Antepartum hemorrhage、abruptio placentae、and placenta previa,產前出血、胎盤早脫及前置胎盤,641,A390
Pre-eclampsia,子癇前症,642.4,A391
Eclampsia,子癇,642.6,A391
Abnormal glucose tolerance of mother complicating pregnancy childbirth or the puerperium,妊娠、生產或產後合併產婦患有醣耐量試驗異常,648.8,A399
Other complications of obstetrical surgical wounds,產科手術傷口之其他併發症,674.3,A394
Major puerperal infection,重大產褥期感染,670,A394
Other specified indications for care or intervention related to labor and delivery,有關分娩及生產所須照顧或處置之其他適應症,659.8,A399
Other current conditions classifiable elsewhere,妊娠、生產或產後合併產婦患有其他現有狀況,648.9,A40
Breech presentation without mention of version,臀位未提及轉向(臂位產),652.2,A399
Known or suspected fetal abnormality,胎兒異常,655.9,A399
Unspecified abnormality of labor,功能不良性分娩,661.9,A399
Failed medical or unspecified induction of labor,引產失敗,659.1,A399
Hyperemesis gravidarum with metabolic disturbance,妊娠嘔吐伴有新陳代謝失調,643.1,A391
Excessive fetal growth,胎兒生長過度,656.6,A399
Poor fetal growth,胎兒生長不良,656.5,A399
Malpresentation,胎位異常,652.9,A399
Pregnancy and obstructed labor,阻礙性分娩,660.9,A393
Oligohydramnios,羊水過少,658.0,A399
Polyhydramnios,羊水過多,657.0,A399
Prolonged Pregnancy,過期妊娠,645.0,A399
Premature rupture of membranes (PROM),早期破水,658.1,A399
Preterm labor,早產 ( >22 wks、<37wks ),644.0,A399
Preterm labor,早產 ( >37wks ),644.1,A399
Previous cesarean delivery complicating pregnancy childbirth or the puerperium,以前剖腹生產、NOS,654.2,A399
Anemia complicating pregnancy childbirth or the puerperium,妊娠合併貧血,648.2,A40
Other specified infectious and parasitic diseases complicating pregnancy childbirth or the puerperium,妊娠、生產或產後合併產婦患有其他特定傳染性及寄生蟲性疾病,647.8,A40
Infections of genitourinary tract in pregnancy,妊娠期生殖泌尿道感染,646.6,A392
Tumors of body of uterus,子宮體腫瘤,654.1,A399
Other specified intestinal obstruction,其他特定腸阻塞(原560.81:腸塞粘連),560.8,A344
Viral warts,病毒性疣,078.1,A049
Disease due to viruses and chlamydiae,病毒及衣原菌所致之疾病,078.8,A049
Disease of breast,乳房疾患,611.9,A370
Disease of respiratory system,呼吸系統之疾病,519.9,A329
Disorder of back,背部疾患,724.9,A434
Disorder of eye,眼疾患,379.9,A239
Disorder of eyelid,眼瞼疾患,374.9,A239
Disorder of joint,關節疾患,719.9,A432
Disorders of male genital organs,男性生殖器官之疾患,608.9,A369
Functional digestive disorders,功能性消化道疾病,564.9,A346
Hyperuricemia,高尿酸血症,790.6,A469
Infection of kidney,腎感染,590.9,A351
Infertility、female,女性不孕症,628.9,A376
Intrauterine synechiae,子宮內粘連,621.5,A379
"Disorders of muscle, ligament, and fasci",肌肉，韌帶及筋膜之疾患(原728.85肌肉痙攣),728.8,A435
Visual loss,視力喪失,369.9,A232
Senile cataract,老年性白內障,366.1,A231
Cataract、complicated,併發性白內障,366.3,A231
Traumatic cataract,外傷性白內障,366.2,A231
Congenital cataract,先天性白內障,743.3,A449
Aphakia and other disorders of lens,無水晶體症及其他水晶體之疾患,379.3,A239
After cataract,後發性白內障,366.5,A231
Age-related macular degeneration,老年性黃斑部變性,362.5,A239
Conjunctival vascular disorders and cysts,結膜之血管疾患及囊腫,372.7,A239
Ptergium,翼狀贅肉,372.4,A239
Conjunctival foreign body,結膜異物,930.1,A51
Scleritis/Episcleritis,鞏膜炎、上鞏膜炎,379.0,A239
Corneal edema,角膜水腫（非特異性）,371.2,A239
Superficial injury of cornea,角膜之表淺損傷,918.1,A55
Corneal degenerations,角膜變性,371.4,A239
